sexo,forma_envio_solicitacao,estado_onde_reside,produto_solicitado,dia_vencimento,tipo_endereco,idade,estado_civil,qtde_dependentes,nacionalidade,qtde_contas_bancarias,renda_mensal_regular,renda_extra,possui_telefone_residencial,possui_email,possui_cartao_visa,possui_cartao_mastercard,possui_cartao_diners,possui_cartao_amex,possui_outros_cartoes,possui_carro,vinculo_formal_com_empresa,meses_no_trabalho,local_onde_reside,tipo_residencia,meses_na_residencia,profissao,ocupacao,profissao_companheiro,grau_instrucao_companheiro,inadimplente
F,internet,RS,1,25,1,30,6,1,1,0,450.0,0.0,1,1,0,0,0,0,0,0,1,0,935.0,1.0,8.0,9.0,2.0,,,1
M,internet,PE,1,5,1,39,2,1,1,0,1000.0,0.0,1,1,0,0,0,0,0,0,1,0,531.0,1.0,1.0,7.0,5.0,16.0,4.0,0
F,presencial,PR,1,10,1,19,1,1,0,1,410.0,0.0,1,1,0,0,0,0,0,1,1,0,828.0,2.0,0.0,11.0,2.0,11.0,0.0,1
F,internet,CE,2,20,1,45,1,0,1,0,350.0,0.0,0,1,0,0,0,0,0,0,1,0,629.0,1.0,,9.0,2.0,,,0
F,internet,SP,1,25,1,32,7,2,1,0,653.0,0.0,1,1,0,0,0,0,0,0,0,0,254.0,1.0,32.0,,,,,1
F,presencial,SP,7,10,1,28,6,0,1,1,350.0,0.0,1,0,0,0,0,0,0,1,0,0,123.0,1.0,15.0,0.0,0.0,0.0,0.0,1
F,internet,PE,1,25,1,47,2,0,1,0,900.0,0.0,1,1,0,0,0,0,0,0,0,0,558.0,1.0,12.0,,,9.0,3.0,1
M,internet,SP,1,10,1,36,2,0,1,0,900.0,0.0,1,1,0,0,0,0,0,0,0,0,146.0,,,,,,,0
F,presencial,RS,1,5,1,56,1,0,1,0,800.0,0.0,0,1,0,0,0,0,0,0,0,0,960.0,1.0,1.0,11.0,4.0,11.0,,0
F,internet,SP,2,5,1,50,4,2,1,0,1911.42,0.0,0,1,0,0,0,0,0,0,0,0,189.0,1.0,5.0,11.0,1.0,,,0
M,internet,BA,1,25,1,54,2,0,1,0,1200.0,0.0,1,1,0,1,0,0,0,0,0,0,452.0,1.0,8.0,2.0,4.0,,,1
F,internet,PB,1,15,1,31,1,0,1,0,250.0,0.0,1,1,0,0,0,0,0,0,0,0,580.0,5.0,4.0,9.0,4.0,,,1
M,presencial,MA,1,10,1,38,2,0,1,1,400.0,0.0,0,1,0,0,0,0,0,1,0,0,650.0,1.0,15.0,0.0,2.0,0.0,0.0,1
F,correio,RS,1,15,1,53,1,0,1,1,1339.0,0.0,1,1,0,0,0,0,0,0,1,0,917.0,1.0,1.0,11.0,5.0,11.0,,0
M,presencial,BA,2,10,1,60,2,2,1,1,1200.0,0.0,1,1,1,1,0,0,0,0,1,0,417.0,1.0,1.0,9.0,5.0,,,1
M,internet,RJ,1,15,1,35,2,0,1,1,598.0,0.0,1,1,1,1,0,0,0,1,1,0,230.0,1.0,12.0,9.0,2.0,,,1
F,internet,CE,2,1,1,36,2,0,1,0,350.0,0.0,1,1,0,0,0,0,0,0,0,0,630.0,1.0,10.0,9.0,5.0,,,1
F,internet,SE,1,10,1,57,1,0,1,0,800.0,0.0,1,1,0,0,0,0,0,0,0,0,490.0,1.0,15.0,,,,,0
M,internet,CE,1,10,1,42,2,2,1,0,350.0,0.0,1,1,1,0,0,0,0,0,1,0,608.0,1.0,8.0,9.0,4.0,,,1
F,presencial,MT,1,10,1,57,4,0,1,0,421.0,0.0,0,1,0,0,0,0,0,0,1,0,780.0,1.0,15.0,,,,,0
F,internet,PE,1,25,1,43,5,0,1,0,350.0,0.0,1,1,0,0,0,0,0,0,0,0,550.0,1.0,20.0,9.0,4.0,,,0
F,internet,PE,1,10,1,32,2,0,1,0,389.0,0.0,1,1,0,0,0,0,0,0,1,0,563.0,1.0,23.0,12.0,2.0,,,1
F,internet,BA,1,25,1,49,2,2,1,0,800.0,0.0,1,1,0,0,0,0,0,0,0,0,413.0,1.0,3.0,2.0,4.0,,,1
M,presencial,BA,1,20,1,50,2,1,0,1,463.0,0.0,1,1,0,1,0,0,0,1,1,0,412.0,1.0,0.0,9.0,2.0,11.0,0.0,0
M,internet,RN,7,5,1,33,2,1,1,0,394.0,0.0,0,1,0,0,0,0,0,0,0,0,596.0,1.0,5.0,,,9.0,4.0,1
F,internet,PA,1,25,1,51,2,0,1,0,480.0,0.0,1,1,0,0,0,0,0,0,0,0,660.0,1.0,5.0,9.0,4.0,,,1
M,internet,PE,1,25,1,64,2,0,1,0,1000.0,0.0,1,1,1,1,0,1,0,0,0,0,547.0,1.0,30.0,9.0,4.0,,,1
M,presencial,RS,1,10,1,29,1,1,1,0,404.0,0.0,1,1,0,0,0,0,0,0,1,0,961.0,1.0,12.0,9.0,5.0,,,0
F,internet,PE,1,5,1,54,1,7,1,0,400.0,0.0,0,1,0,0,0,0,0,0,0,0,550.0,1.0,4.0,2.0,5.0,,,1
F,internet,SC,1,10,1,39,2,1,1,0,600.0,300.0,1,1,1,1,0,0,0,0,0,0,888.0,2.0,4.0,,,,,0
F,internet,MG,1,20,1,25,1,0,1,0,350.0,0.0,1,1,0,0,0,0,0,0,0,0,357.0,1.0,10.0,,,,,0
F,internet,PI,1,20,1,34,2,0,1,0,350.0,0.0,1,1,0,0,0,0,0,0,0,0,648.0,5.0,10.0,9.0,2.0,,,0
F,internet,RJ,1,25,1,42,2,0,1,0,1000.0,0.0,1,1,0,0,0,0,0,0,0,0,217.0,1.0,5.0,9.0,4.0,,,0
M,internet,CE,1,5,1,65,2,5,1,0,380.0,0.0,1,1,0,0,0,0,0,0,0,0,603.0,1.0,20.0,9.0,1.0,,,0
F,presencial,AP,1,5,1,35,2,6,1,1,350.0,0.0,0,1,0,0,0,0,0,0,0,0,689.0,1.0,2.0,9.0,5.0,,,1
M,internet,BA,1,10,1,72,1,0,1,0,380.0,0.0,1,1,0,0,0,0,0,0,0,0,456.0,2.0,0.0,9.0,1.0,,,0
F,internet,MA,1,20,1,83,1,0,1,0,350.0,0.0,0,1,0,0,0,0,0,0,0,0,655.0,1.0,2.0,,,,,1
F,internet,MG,1,10,1,48,3,0,1,0,4027.0,0.0,1,1,0,0,0,0,0,0,0,0,384.0,1.0,,,,,,1
F,internet,PE,7,25,1,25,2,0,1,0,5000.0,0.0,1,1,0,1,0,0,0,0,0,0,550.0,1.0,10.0,2.0,4.0,,,1
F,internet,RR,1,5,1,61,4,0,1,0,272.0,342.88,1,1,0,0,0,0,0,0,1,0,693.0,1.0,10.0,9.0,1.0,,,0
F,internet,RO,1,10,1,49,4,1,1,0,1500.0,0.0,1,1,0,0,0,0,0,0,0,0,789.0,1.0,1.0,9.0,1.0,,,1
M,presencial,SP,1,10,1,52,2,1,0,0,367.0,0.0,1,1,0,0,0,0,0,0,1,0,815.0,1.0,1.0,11.0,1.0,11.0,0.0,0
M,presencial,RS,1,20,1,25,1,0,1,1,1000.0,0.0,1,1,0,0,0,0,0,0,0,0,930.0,1.0,1.0,9.0,4.0,,,1
F,internet,RJ,1,5,1,52,2,0,1,0,500.0,0.0,0,1,0,0,0,0,0,0,0,0,261.0,1.0,21.0,2.0,4.0,,,1
F,presencial,BA,2,10,1,66,1,0,1,1,350.0,0.0,1,0,0,0,0,0,0,1,0,0,457.0,1.0,2.0,0.0,0.0,0.0,0.0,1
F,internet,SP,1,15,1,35,2,2,1,0,250.0,0.0,1,1,0,0,0,0,0,0,1,0,520.0,1.0,20.0,9.0,2.0,,,0
F,internet,SP,1,15,1,29,2,0,1,0,350.0,0.0,1,1,1,1,0,0,0,0,0,0,678.0,1.0,2.0,9.0,,,,1
M,presencial,MG,1,10,1,45,2,0,1,1,550.0,0.0,0,0,0,0,0,0,0,1,1,0,379.0,3.0,0.0,9.0,2.0,9.0,4.0,1
M,internet,RS,1,25,1,54,2,0,1,0,450.0,0.0,0,1,1,1,0,0,0,0,1,0,931.0,1.0,10.0,2.0,5.0,,,0
F,internet,PE,1,15,1,38,2,0,1,0,936.0,0.0,0,1,0,0,0,0,0,0,0,0,550.0,1.0,1.0,2.0,4.0,,,0
M,presencial,MT,1,10,1,75,2,0,1,1,500.0,0.0,1,0,0,0,0,0,0,1,0,0,780.0,1.0,5.0,9.0,1.0,0.0,0.0,1
F,presencial,AL,1,20,1,59,4,0,1,1,708.0,1322.0,1,0,1,1,0,0,0,1,0,0,578.0,1.0,30.0,9.0,1.0,0.0,0.0,1
M,presencial,CE,1,10,1,38,2,3,1,1,287.0,100.0,0,0,0,0,0,0,0,1,1,0,621.0,1.0,6.0,9.0,2.0,9.0,4.0,1
F,presencial,PI,1,5,1,44,4,0,1,1,496.0,0.0,0,1,1,0,0,0,0,1,1,0,640.0,1.0,5.0,9.0,5.0,0.0,0.0,0
F,presencial,AL,1,15,1,29,2,0,1,1,424.0,0.0,1,0,0,0,0,0,0,1,0,0,570.0,1.0,4.0,9.0,5.0,0.0,0.0,0
F,internet,CE,1,5,1,56,2,1,1,0,551.0,0.0,0,1,1,1,0,0,0,0,0,0,618.0,1.0,10.0,9.0,4.0,,,0
M,presencial,CE,1,5,1,28,1,0,1,1,350.0,0.0,1,0,0,0,0,0,0,1,1,0,618.0,1.0,8.0,9.0,2.0,0.0,0.0,0
F,internet,MT,1,25,1,41,2,0,1,0,350.0,0.0,1,1,0,0,0,0,0,0,0,0,781.0,1.0,8.0,2.0,4.0,,,0
F,internet,RS,1,10,1,65,6,0,1,0,400.0,0.0,1,1,0,0,0,0,0,0,0,0,962.0,1.0,30.0,2.0,4.0,,,0
M,internet,SP,1,10,1,25,1,0,1,0,1700.0,0.0,1,1,0,0,0,0,0,0,0,0,129.0,1.0,5.0,11.0,,,,0
M,internet,MS,7,10,1,48,1,0,1,0,455.0,0.0,0,1,0,0,0,0,0,0,0,0,795.0,1.0,13.0,9.0,4.0,,,1
F,internet,BA,1,1,1,30,1,0,1,0,350.0,0.0,1,1,0,0,0,0,0,0,0,0,473.0,1.0,5.0,9.0,3.0,,,0
M,presencial,RS,1,10,1,48,2,0,1,1,1050.0,0.0,1,0,0,0,0,0,0,1,0,0,960.0,1.0,8.0,9.0,1.0,0.0,0.0,0
M,presencial,RS,1,15,1,40,5,3,0,0,556.0,0.0,1,1,1,1,0,0,0,1,1,0,908.0,1.0,0.0,9.0,2.0,11.0,0.0,0
F,presencial,RN,1,1,1,34,1,0,1,1,350.0,0.0,1,1,0,0,0,0,0,1,0,0,591.0,1.0,0.0,9.0,5.0,0.0,0.0,0
M,presencial,SC,2,20,1,41,2,2,1,1,572.0,0.0,1,0,0,0,0,0,0,1,1,0,880.0,1.0,20.0,9.0,2.0,2.0,0.0,0
F,presencial,PE,1,15,1,25,2,1,1,1,372.0,0.0,1,0,0,0,0,0,0,1,1,0,558.0,1.0,27.0,9.0,2.0,0.0,0.0,1
M,internet,RJ,1,25,1,36,2,0,1,0,779.0,0.0,0,1,0,0,0,0,0,0,1,0,286.0,1.0,3.0,9.0,5.0,,,1
F,presencial,SP,1,10,1,30,2,0,1,1,500.0,0.0,0,0,0,0,0,0,0,1,1,0,130.0,1.0,25.0,9.0,2.0,0.0,4.0,1
F,internet,CE,1,15,1,43,5,2,1,0,492.0,0.0,0,1,1,1,0,0,0,0,1,0,616.0,5.0,10.0,9.0,2.0,,,1
F,internet,CE,1,20,1,22,6,1,1,0,350.0,0.0,1,1,0,0,0,0,0,0,0,0,628.0,1.0,20.0,,4.0,,,0
F,internet,RN,1,10,1,32,1,0,1,0,931.0,0.0,1,1,0,0,0,0,0,0,1,0,591.0,1.0,5.0,9.0,4.0,,,0
F,presencial,PA,1,20,1,26,1,0,1,1,350.0,0.0,1,1,0,0,0,0,0,0,0,0,660.0,1.0,8.0,,,,,1
F,presencial,PB,1,25,1,36,2,3,0,1,200.0,0.0,1,1,0,0,0,0,0,1,0,0,581.0,1.0,19.0,9.0,4.0,11.0,0.0,0
M,internet,PA,1,10,1,40,1,1,1,0,461.0,0.0,1,1,0,0,0,0,0,0,1,0,660.0,1.0,11.0,9.0,2.0,,,1
M,internet,SP,1,15,1,18,1,0,1,0,380.0,0.0,1,1,0,0,0,0,0,0,0,0,398.0,,,,,,,1
M,internet,PE,1,1,1,54,6,0,1,0,381.0,0.0,0,1,1,0,0,0,0,0,0,0,552.0,1.0,10.0,9.0,5.0,,,0
F,presencial,PA,1,10,1,68,4,0,1,1,350.0,0.0,0,1,0,0,0,0,0,1,1,0,685.0,5.0,9.0,9.0,1.0,11.0,0.0,1
M,internet,BA,1,20,1,54,2,3,1,0,260.0,450.0,1,1,0,0,0,0,0,0,1,0,456.0,1.0,18.0,9.0,1.0,,,0
F,internet,CE,1,15,1,24,2,0,1,0,400.0,0.0,1,1,0,0,0,0,0,0,1,0,617.0,1.0,7.0,,,,,1
M,presencial,RS,1,10,1,59,2,2,1,1,2198.0,0.0,1,0,0,0,0,0,0,1,0,0,960.0,1.0,23.0,8.0,1.0,0.0,0.0,0
F,internet,RS,7,15,1,73,4,0,1,0,360.0,0.0,1,1,0,0,0,0,0,0,0,0,960.0,1.0,20.0,9.0,1.0,,,1
F,internet,PR,1,5,1,22,1,0,1,0,600.0,0.0,1,1,0,0,0,0,0,0,0,0,873.0,,,,,,,1
F,presencial,BA,1,10,1,35,2,0,1,0,500.0,0.0,1,0,0,1,0,0,0,1,0,0,402.0,1.0,27.0,9.0,4.0,0.0,0.0,1
M,internet,MT,1,15,1,58,1,0,1,0,380.0,0.0,0,1,0,0,0,0,0,0,1,0,785.0,1.0,8.0,9.0,1.0,,,1
M,internet,PR,1,15,1,45,2,0,1,0,495.01,0.0,1,1,0,0,0,0,0,0,0,0,875.0,1.0,3.0,,,,,0
F,internet,SP,1,25,1,53,2,0,1,0,589.0,0.0,1,1,0,0,0,0,0,0,0,0,708.0,2.0,2.0,,,,,1
F,internet,MG,2,5,1,65,1,0,1,0,450.0,0.0,1,1,0,0,0,0,0,0,0,0,371.0,1.0,10.0,9.0,2.0,,,1
F,internet,BA,1,15,1,39,2,0,1,0,552.16,800.0,0,1,1,1,0,0,0,0,1,0,484.0,1.0,5.0,9.0,2.0,,,1
F,internet,AM,1,25,1,19,1,0,1,0,350.0,0.0,1,1,0,0,0,0,0,0,0,0,690.0,1.0,10.0,8.0,3.0,,,0
M,presencial,PE,1,15,1,39,2,4,1,1,894.0,0.0,0,1,1,1,0,0,0,0,1,0,555.0,1.0,,9.0,2.0,11.0,,1
F,presencial,RN,1,10,1,69,1,0,1,1,350.0,0.0,1,1,0,0,0,0,0,1,0,0,591.0,1.0,5.0,9.0,1.0,0.0,0.0,0
F,internet,PA,1,20,1,27,6,5,1,0,380.0,0.0,0,1,0,0,0,0,0,0,0,0,684.0,1.0,6.0,,,,,1
M,presencial,BA,2,1,1,41,2,2,1,0,2076.0,0.0,1,1,1,0,0,0,0,1,1,0,471.0,1.0,8.0,17.0,2.0,17.0,4.0,1
M,correio,RN,1,15,1,38,2,0,1,0,550.0,0.0,0,1,0,0,0,0,0,0,1,0,596.0,2.0,,9.0,2.0,,,1
F,internet,CE,1,15,1,35,2,0,1,0,678.98,0.0,0,1,0,1,0,0,0,0,0,0,631.0,1.0,8.0,10.0,2.0,,,1
F,internet,BA,1,15,1,30,1,0,1,0,430.0,0.0,1,1,0,0,0,0,0,0,0,0,413.0,1.0,1.0,11.0,4.0,11.0,,1
M,presencial,DF,1,25,1,54,2,2,1,1,2053.0,0.0,1,1,1,0,0,0,0,1,1,0,730.0,1.0,13.0,9.0,2.0,0.0,0.0,0
F,presencial,MG,1,10,1,69,3,0,1,1,480.0,0.0,1,0,0,0,0,0,0,1,0,0,351.0,1.0,0.0,0.0,0.0,0.0,0.0,1
M,presencial,CE,1,15,1,79,4,0,1,1,350.0,0.0,0,0,0,0,0,0,0,1,0,0,639.0,1.0,0.0,0.0,0.0,0.0,0.0,1
M,presencial,SP,1,10,1,46,2,3,0,1,702.0,0.0,1,1,0,0,0,0,0,1,1,0,518.0,1.0,0.0,11.0,5.0,11.0,0.0,0
M,presencial,BA,1,10,1,45,0,0,0,1,521.0,0.0,1,1,0,0,0,0,0,1,1,0,438.0,1.0,0.0,9.0,2.0,11.0,0.0,0
M,internet,MG,1,15,1,43,2,3,1,0,1200.0,0.0,1,1,0,0,0,0,0,0,0,0,385.0,1.0,5.0,,,,,0
M,internet,RN,1,10,1,52,2,3,1,0,1217.61,1100.0,0,1,0,0,0,0,0,0,0,0,591.0,1.0,,,1.0,9.0,3.0,1
F,internet,MA,1,25,1,49,1,0,1,0,695.73,0.0,1,1,0,0,0,0,0,0,1,0,650.0,1.0,1.0,9.0,2.0,11.0,,1
M,internet,CE,2,10,1,22,2,1,1,0,400.0,0.0,1,1,0,0,0,0,0,0,0,0,630.0,1.0,10.0,9.0,2.0,,,1
F,correio,PE,1,5,1,46,4,1,1,0,304.0,0.0,1,1,0,0,0,0,0,0,0,0,555.0,1.0,1.0,11.0,5.0,11.0,,0
M,internet,SP,1,10,1,31,1,0,1,0,3058.0,0.0,1,1,1,0,0,0,0,0,0,0,285.0,1.0,4.0,9.0,2.0,,,1
F,internet,AM,1,25,1,41,1,0,1,0,911.92,0.0,1,1,1,1,0,0,0,0,0,0,690.0,1.0,41.0,,,9.0,,1
F,internet,BA,1,20,1,53,2,0,1,0,248.0,0.0,1,1,0,0,0,0,0,0,0,0,412.0,1.0,11.0,,,,,1
F,internet,CE,2,5,1,80,4,0,1,0,344.0,0.0,1,1,0,0,0,0,0,0,1,0,626.0,1.0,15.0,9.0,1.0,,,1
F,internet,RN,1,15,1,58,1,0,1,0,480.0,0.0,0,1,0,0,0,0,0,0,0,0,591.0,1.0,30.0,9.0,4.0,,,0
M,internet,PE,1,1,1,55,1,0,1,0,400.0,0.0,1,1,0,0,0,0,0,0,0,0,536.0,1.0,1.0,,4.0,,,0
F,internet,RN,1,20,1,52,2,0,1,0,1500.0,0.0,1,1,0,0,0,0,0,0,1,0,590.0,1.0,2.0,,,,,0
F,presencial,PE,1,10,1,70,4,0,1,1,261.0,0.0,0,0,0,0,0,0,0,1,0,0,558.0,1.0,20.0,9.0,5.0,0.0,0.0,1
F,internet,CE,2,10,1,51,4,0,1,0,400.0,0.0,1,1,0,0,0,0,0,0,0,0,630.0,1.0,0.0,9.0,5.0,,,1
F,presencial,RJ,1,10,1,44,2,1,1,1,600.0,0.0,1,1,0,0,0,0,0,1,0,0,289.0,1.0,20.0,0.0,0.0,0.0,0.0,0
M,presencial,BA,1,10,1,66,0,4,0,1,1140.0,0.0,1,1,0,0,0,0,0,1,1,0,443.0,1.0,0.0,9.0,2.0,11.0,0.0,0
F,presencial,PE,1,5,1,32,2,0,1,1,352.0,0.0,1,1,0,0,0,0,0,1,1,0,559.0,1.0,3.0,9.0,2.0,0.0,0.0,0
M,presencial,RO,1,10,1,46,2,3,1,1,1200.0,0.0,1,0,1,0,0,0,0,1,1,0,789.0,1.0,0.0,9.0,2.0,0.0,0.0,0
M,presencial,DF,1,10,1,48,2,4,1,1,1428.0,0.0,1,0,0,0,0,0,0,1,0,0,726.0,1.0,13.0,9.0,2.0,0.0,0.0,0
M,presencial,PA,1,10,1,47,2,2,1,1,1149.0,0.0,0,0,0,0,0,0,0,1,1,0,685.0,2.0,2.0,9.0,2.0,0.0,0.0,0
F,internet,PA,1,10,1,55,4,0,1,0,380.0,0.0,1,1,0,0,0,0,0,0,0,0,671.0,1.0,12.0,9.0,1.0,,,1
F,internet,SC,2,20,1,34,2,1,1,0,525.0,0.0,1,1,0,0,0,0,0,0,1,0,880.0,1.0,10.0,9.0,2.0,,,0
M,internet,PA,1,5,1,52,2,3,1,0,269.0,0.0,1,1,0,0,0,0,0,0,1,0,685.0,1.0,10.0,9.0,5.0,,,1
F,internet,BA,1,20,1,30,1,0,1,0,260.0,0.0,1,1,0,0,0,0,0,0,1,0,412.0,1.0,2.0,9.0,2.0,,,0
F,presencial,SP,1,10,1,41,1,0,1,1,806.0,0.0,1,1,0,0,0,0,0,0,1,0,715.0,2.0,2.0,9.0,2.0,,,0
F,presencial,MG,1,15,1,35,2,2,0,1,250.0,0.0,1,1,0,1,0,0,0,1,0,0,321.0,1.0,0.0,9.0,4.0,11.0,0.0,0
F,presencial,BA,2,15,1,61,1,0,1,1,350.0,0.0,1,0,0,0,0,0,0,1,0,0,403.0,1.0,4.0,9.0,1.0,0.0,0.0,1
M,internet,PE,1,10,1,73,6,0,1,0,366.97,0.0,0,1,0,0,0,0,0,0,0,0,558.0,2.0,7.0,,1.0,,,1
F,internet,AL,1,5,1,23,1,0,1,0,200.0,0.0,1,1,0,1,0,0,0,0,0,0,570.0,1.0,15.0,9.0,4.0,,,0
F,internet,RN,1,15,1,54,2,0,1,0,651.0,300.0,1,1,1,0,0,0,0,0,0,0,590.0,1.0,40.0,9.0,1.0,,,0
F,internet,SP,1,15,1,39,2,0,1,0,403.0,0.0,1,1,0,0,0,0,0,0,0,0,172.0,1.0,1.0,9.0,1.0,11.0,,1
F,internet,CE,1,10,1,95,4,0,1,0,350.0,0.0,0,1,0,0,0,0,0,0,0,0,628.0,5.0,5.0,9.0,1.0,,,1
M,presencial,PA,1,10,1,26,6,0,1,1,450.0,0.0,1,0,0,0,0,0,0,1,1,0,684.0,1.0,5.0,2.0,4.0,0.0,0.0,0
M,internet,AP,2,10,1,32,6,2,1,0,350.0,80.0,1,1,0,0,0,0,0,0,0,0,450.0,1.0,10.0,2.0,4.0,,,1
M,internet,AM,1,25,1,47,1,1,1,0,789.0,0.0,0,1,1,1,0,0,0,0,1,0,690.0,1.0,8.0,9.0,2.0,,,0
M,presencial,BA,1,10,1,47,1,1,1,1,350.0,0.0,1,0,0,0,0,0,0,1,0,0,459.0,1.0,1.0,9.0,1.0,0.0,0.0,0
F,presencial,BA,1,25,1,30,1,0,1,1,550.0,0.0,1,1,0,0,0,0,0,1,1,0,440.0,1.0,18.0,9.0,2.0,0.0,0.0,1
M,presencial,RS,1,10,1,68,2,0,1,1,600.0,0.0,1,0,0,0,0,0,0,1,0,0,968.0,1.0,20.0,9.0,1.0,0.0,0.0,0
F,internet,CE,1,10,1,61,4,2,1,0,380.0,0.0,1,1,0,0,0,0,0,0,1,0,619.0,1.0,26.0,9.0,,,,1
M,presencial,BA,1,20,1,29,2,0,1,1,450.0,0.0,1,1,0,0,0,0,0,1,0,0,459.0,2.0,0.0,0.0,0.0,0.0,0.0,0
F,internet,MG,2,10,1,18,1,0,1,0,297.5,0.0,1,1,0,0,0,0,0,0,1,0,356.0,1.0,1.0,9.0,2.0,11.0,,0
F,presencial,PA,1,10,1,21,2,3,1,1,402.0,0.0,0,0,0,0,0,0,0,1,1,0,686.0,1.0,0.0,9.0,2.0,9.0,3.0,1
M,internet,SE,1,15,1,37,2,0,1,0,600.0,350.0,1,1,0,0,0,0,0,0,0,0,492.0,1.0,5.0,9.0,5.0,,,0
M,internet,SC,1,10,1,27,1,1,1,0,650.0,0.0,1,1,0,0,0,0,0,0,0,0,883.0,1.0,4.0,,,,,1
F,internet,RN,1,25,1,37,1,0,1,0,300.0,0.0,0,1,0,0,0,0,0,0,0,0,594.0,1.0,10.0,9.0,5.0,,,1
F,presencial,SP,2,25,1,29,6,2,1,1,1200.0,0.0,1,1,0,0,0,0,0,1,0,0,171.0,0.0,0.0,0.0,0.0,0.0,0.0,1
M,internet,AM,1,20,1,35,2,2,1,0,526.0,0.0,1,1,0,0,0,0,0,0,0,0,690.0,1.0,2.0,2.0,5.0,,,0
M,presencial,PE,1,10,1,44,1,0,1,1,500.0,0.0,1,0,0,1,0,0,0,1,0,0,532.0,1.0,15.0,9.0,4.0,0.0,0.0,1
M,internet,DF,1,10,1,49,1,0,1,0,1224.0,0.0,1,1,0,1,0,0,0,0,1,0,722.0,1.0,20.0,9.0,2.0,,,1
F,correio,RN,1,10,1,38,2,0,1,0,381.0,0.0,1,1,0,0,0,0,0,0,0,0,592.0,2.0,,11.0,1.0,11.0,,0
M,presencial,BA,1,10,1,68,4,0,1,1,569.0,0.0,1,1,0,0,0,0,0,0,0,0,486.0,1.0,10.0,9.0,1.0,,,0
M,presencial,RS,1,10,1,62,2,0,1,1,338.0,0.0,1,1,0,0,0,0,0,1,0,0,973.0,1.0,12.0,9.0,2.0,0.0,0.0,0
M,internet,MG,1,10,1,47,2,2,1,0,2353.0,0.0,0,1,0,0,0,0,0,0,1,0,329.0,1.0,9.0,9.0,2.0,,,0
